,Total,CSF-/PET-,CSF+/PET-,CSF-/PET+,CSF+/PET+,p_value
N,570,262,39,88,181,
Age (year),71.9 (7.0),70.7 (7.1),70.2 (7.0),72.9 (7.2),73.4 (6.4),< 0.001
BMI (kg/m^2),27.6 (4.8),28.3 (4.8),27.1 (5.0),27.5 (5.4),26.7 (4.2),0.0061
Sex,,,,,,
Female (n),266 (47%),125 (48%),11 (28%),53 (60%),77 (43%),0.0042
Male (n),304 (53%),137 (52%),28 (72%),35 (40%),104 (57%),
Cognitive Status,,,,,,
CN (n),205 (36%),123 (47%),14 (36%),31 (35%),37 (20%),< 0.001
MCI (n),365 (64%),139 (53%),25 (64%),57 (65%),144 (80%),
APOE-ε4 Carrier Status,,,,,,
No (n),331 (58%),210 (80%),21 (54%),50 (57%),50 (28%),< 0.001
Yes (n),239 (42%),52 (20%),18 (46%),38 (43%),131 (72%),
CSF Aβ42 (pg/mL),1104.6 (447.9),1478.2 (267.8),715.6 (142.7),1154.8 (261.8),623.3 (150.0),< 0.001
Amyloid PET (SUVR),1.2 (0.2),1.0 (0.1),1.0 (0.1),1.3 (0.2),1.4 (0.2),< 0.001
CSF pTau (ng/mL),25.0 (13.4),19.0 (6.8),16.7 (8.5),33.1 (14.8),31.6 (15.4),< 0.001
CSF pTau/Aβ42 (1),29.3 (24.9),13.0 (4.6),25.1 (15.4),30.4 (15.8),53.3 (28.2),< 0.001
CSF sTREM2 (pg/mL),3904.5 (2123.6),3811.2 (2054.1),2845.3 (1524.6),4865.1 (2254.9),3800.6 (2114.7),< 0.001
UPenn CSF Aβ42 (pg/mL),1200.7 (616.2),1666.3 (517.2),725.2 (149.5),1212.6 (420.3),623.4 (150.6),< 0.001
UPenn CSF Aβ40 (ng/mL),18623.8 (6181.5),19595.2 (5388.4),12691.4 (4898.6),25236.7 (5498.6),16131.1 (4710.2),< 0.001
UPenn CSF pTau (pg/mL),25.1 (13.4),19.0 (6.8),17.2 (8.4),33.0 (14.9),31.6 (15.4),< 0.001
UPenn CSF Aβ42/40 (e-6),73.2 (28.6),90.7 (19.4),65.5 (28.2),56.4 (29.0),41.9 (11.2),< 0.001
