,Total,11,22,33,44,21,12,43,34,p_value
N,570,217,18,25,205,60,6,22,17,
Age (year),71.9 (7.0),70.4 (6.8),71.7 (4.9),69.9 (5.7),73.1 (6.7),70.2 (7.7),81.8 (6.8),74.9 (6.2),77.2 (6.9),< 0.001
BMI (kg/m^2),27.6 (4.8),28.6 (5.0),26.6 (4.9),27.9 (6.1),26.6 (4.4),27.2 (4.4),25.7 (2.6),28.4 (4.5),27.4 (4.6),0.0040
Sex,,,,,,,,,,
Female (n),266 (47%),106 (49%),6 (33%),18 (72%),93 (45%),21 (35%),3 (50%),11 (50%),8 (47%),0.1111
Male (n),304 (53%),111 (51%),12 (67%),7 (28%),112 (55%),39 (65%),3 (50%),11 (50%),9 (53%),
Cognitive Status,,,,,,,,,,
CN (n),205 (36%),106 (49%),6 (33%),11 (44%),39 (19%),23 (38%),2 (33%),11 (50%),7 (41%),< 0.001
MCI (n),365 (64%),111 (51%),12 (67%),14 (56%),166 (81%),37 (62%),4 (67%),11 (50%),10 (59%),
APOE-ε4 Carrier Status,,,,,,,,,,
No (n),331 (58%),175 (81%),9 (50%),19 (76%),57 (28%),43 (72%),4 (67%),14 (64%),10 (59%),< 0.001
Yes (n),239 (42%),42 (19%),9 (50%),6 (24%),148 (72%),17 (28%),2 (33%),8 (36%),7 (41%),
CSF Aβ42 (pg/mL),1104.6 (447.9),1568.3 (182.1),733.9 (224.2),1467.9 (223.7),676.9 (190.3),889.2 (142.4),1388.0 (270.8),830.2 (158.4),1219.1 (151.0),< 0.001
Amyloid PET (SUVR),1.2 (0.2),1.0 (0.1),1.1 (0.0),1.2 (0.1),1.4 (0.2),1.0 (0.0),1.0 (0.1),1.2 (0.1),1.3 (0.2),< 0.001
CSF pTau (ng/mL),25.0 (13.4),19.3 (5.6),25.8 (8.2),22.5 (5.4),34.2 (14.9),12.4 (3.3),40.5 (6.8),14.9 (4.0),43.4 (15.9),< 0.001
CSF pTau/Aβ42 (1),29.3 (24.9),12.3 (3.1),38.0 (15.0),15.5 (3.9),53.3 (26.2),14.3 (4.0),29.7 (4.8),18.1 (4.1),35.6 (12.4),< 0.001
CSF sTREM2 (pg/mL),3904.5 (2123.6),3866.3 (1832.3),3928.2 (1381.7),4575.4 (1835.0),4007.3 (2133.6),2418.5 (1310.1),9116.7 (4020.2),3387.4 (2252.2),6214.0 (2556.2),< 0.001
UPenn CSF Aβ42 (pg/mL),1200.7 (616.2),1788.9 (455.1),736.4 (223.1),1665.6 (492.0),677.0 (190.7),893.9 (141.9),1629.3 (871.7),829.5 (158.9),1227.6 (291.5),< 0.001
UPenn CSF Aβ40 (ng/mL),18623.8 (6181.5),20614.0 (4985.4),16696.7 (5019.4),22252.5 (3441.4),16732.5 (4651.4),11780.0 (3980.8),22110.0 (nan),11320.0 (nan),31205.0 (2962.8),< 0.001
UPenn CSF pTau (pg/mL),25.1 (13.4),19.2 (5.6),25.7 (8.2),22.3 (5.3),34.2 (14.9),12.5 (3.2),40.3 (7.2),14.9 (4.0),43.4 (15.9),< 0.001
UPenn CSF Aβ42/40 (e-6),73.2 (28.6),96.3 (14.6),36.5 (2.7),68.7 (27.9),39.4 (8.8),80.5 (16.6),45.7 (nan),62.0 (nan),31.7 (4.8),< 0.001
